fingerprint,file,name,lat,lon,n_identical
0bc1ce0bb1931a83205bb7642e766358,harmonics/noaa/harmonics_noaa_cptt.txt,"Malinao Inlet, Dinagat Island, Surigao del Sur, Philippines",10.25,125.6333,2
0bc1ce0bb1931a83205bb7642e766358,harmonics/noaa/harmonics_noaa_cptt.txt,"Gaas Bay, Dinagat Island, Surigao del Sur, Philippines",10.1833,125.65,2
0f355aca54169804424633dc90351e1e,harmonics/noaa/harmonics_noaa_cptt.txt,"Buruny, Russia",48.1,142.5667,2
0f355aca54169804424633dc90351e1e,harmonics/noaa/harmonics_noaa_cptt.txt,"Airo Wan, Russia",46.8167,143.4167,2
1ce3736dfc57d45add1d0b2badd35fbc,harmonics/noaa/harmonics_noaa_cptt.txt,"Lavigan Anchorage, Davao Oriental, Philippines",6.3,126.1833,2
1ce3736dfc57d45add1d0b2badd35fbc,harmonics/noaa/harmonics_noaa_cptt.txt,"Malalag, South Cotabato, Philippines",6.6,125.4167,2
25ae523a8128c7a8202b19f68f5da3f5,harmonics/noaa/harmonics_noaa_cptt.txt,"Medellin, Cebu, Philippines",11.1333,123.9667,2
25ae523a8128c7a8202b19f68f5da3f5,harmonics/noaa/harmonics_noaa_cptt.txt,"Bantayan, Bantayan Island, Cebu, Philippines",11.1667,123.7167,2
500f44165a0c07b7d4da031cb01d583b,harmonics/noaa/harmonics_noaa_cptt.txt,"Nin Bay, Masbate, Philippines",12.2333,123.2833,3
500f44165a0c07b7d4da031cb01d583b,harmonics/noaa/harmonics_noaa_cptt.txt,"Masbate, Masbate, Philippines",12.3667,123.6167,3
500f44165a0c07b7d4da031cb01d583b,harmonics/noaa/harmonics_noaa_cptt.txt,"Port San Miguel, Ticao Island, Sorsogon, Philippines",12.6667,123.5833,3
52489f44a97c21439e799d2f65d66964,harmonics/noaa/harmonics_noaa_cptt.txt,"Maribojoc, Bohol, Philippines",9.7333,123.8333,2
52489f44a97c21439e799d2f65d66964,harmonics/noaa/harmonics_noaa_cptt.txt,"Maasin, Leyte, Philippines",10.1333,124.8333,2
584c805b4eca01c2d80d8d9c5778fd1e,harmonics/noaa/harmonics_noaa_cptt.txt,"Panabutan Bay, Zamboanga del Sur, Philippines",7.5833,122.1333,2
584c805b4eca01c2d80d8d9c5778fd1e,harmonics/noaa/harmonics_noaa_cptt.txt,"Liloan, Sogod Bay, Surigao del Sur, Philippines",10.15,125.1167,2
5b8d0d0cff34f371884848028fb2d3fd,harmonics/noaa/harmonics_noaa_cptt.txt,"Ishino, Kita Iwo Jima, Kazan Retto, Tokyo, Japan",25.4333,141.3,2
5b8d0d0cff34f371884848028fb2d3fd,harmonics/noaa/harmonics_noaa_cptt.txt,"Nishi, Iwo Jima, Kazan Retto, Tokyo, Japan",24.8,141.3,2
693a62ff66c7ff918ba9df308d30ab55,harmonics/noaa/harmonics_noaa_cptt.txt,"Bais, Negros Oriental, Philippines",9.6,123.1333,2
693a62ff66c7ff918ba9df308d30ab55,harmonics/noaa/harmonics_noaa_cptt.txt,"Carmen, Negros Occidental, Philippines",10.5833,124.0167,2
810b4191fd531f90643617aef4348714,harmonics/noaa/harmonics_noaa_cptt.txt,"Tsurigane Wan, Russia",46.1,150.1667,2
810b4191fd531f90643617aef4348714,harmonics/noaa/harmonics_noaa_cptt.txt,"Shibetoro, Russia",45.5,148.6167,2
a1e00f11b4ac265c68de873aac3435ee,harmonics/noaa/harmonics_noaa_cptt.txt,"Eran Bay, Palawan, Philippines",9.0833,117.7,2
a1e00f11b4ac265c68de873aac3435ee,harmonics/noaa/harmonics_noaa_cptt.txt,"Halsey Harbor, Culion Island, Palawan, Philippines",11.7833,119.9667,2
a9ecbe89e6c856825c8763e2d3fe9c2c,harmonics/noaa/harmonics_noaa_cptt.txt,"Tukuran, Zamboanga del Sur, Philippines",7.85,123.5833,3
a9ecbe89e6c856825c8763e2d3fe9c2c,harmonics/noaa/harmonics_noaa_cptt.txt,"Port Sambulauan, Zamboanga del Sur, Philippines",7.5333,123.4,3
a9ecbe89e6c856825c8763e2d3fe9c2c,harmonics/noaa/harmonics_noaa_cptt.txt,"Maligay Bay, Zamboanga del Sur, Philippines",7.5333,123.25,3
b944f72711ada3b390b301ee45166c2c,harmonics/noaa/harmonics_noaa_cptt.txt,"Baybay, Leyte, Philippines",10.6833,124.8,3
b944f72711ada3b390b301ee45166c2c,harmonics/noaa/harmonics_noaa_cptt.txt,"San Pascual, Burias Island, Camarines Sur, Philippines",13.1333,122.9833,3
b944f72711ada3b390b301ee45166c2c,harmonics/noaa/harmonics_noaa_cptt.txt,"Guimbiravan, Tablas Island, Aklan, Philippines",12.1667,122.0333,3
b9af67c82f1297f7292467129e812295,harmonics/noaa/harmonics_noaa_cptt.txt,"Polloc Harbor, Sultan Kudarat, Philippines",7.35,124.2167,2
