abstand_km,kennung_art,kennung,station,lat,lon,katalog_name,katalog_lat,katalog_lon,befund,datei,n_kennungen
9.5,psmsl_id,1356,"Kaohsiung, Taiwan",22.6144,120.2883,KAOHSIUNG II,22.5333,120.3167,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,5
9.5,psmsl_id,1356,"Kaohsiung, Taiwan",22.6144,120.2883,KAOHSIUNG II,22.5333,120.3167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_tidetables.txt,5
9.4,psmsl_id,1177,"Groote Eylandt, Northern Territory, Australia",-13.8591,136.4173,MILNER BAY II,-13.8333,136.5000,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,6
9.0,psmsl_id,733,"Ubatuba, Sao Paulo, Brazil",-23.4513,-45.0467,UBATUBA,-23.5000,-45.1167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
9.0,ssc_id,ubat,"Ubatuba, Sao Paulo, Brazil",-23.4513,-45.0467,Ubatuba,-23.5000,-45.1167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
9.0,uhslc_id,282,"Ubatuba, Sao Paulo, Brazil",-23.4513,-45.0467,Ubatuba,-23.5000,-45.1167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
8.9,psmsl_id,2171,"Santa Cruz das Flores, Açores, Portugal",39.4514,-31.1259,LAJES DAS FLORES,39.3785,-31.1686,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.9,gloss_id,244,"Santa Cruz das Flores, Açores, Portugal",39.4514,-31.1259,"Flores, Lajes",39.3783,-31.1683,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.9,uhslc_id,213,"Santa Cruz das Flores, Açores, Portugal",39.4514,-31.1259,"Flores, Lajes",39.3783,-31.1683,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.7,psmsl_id,1166,"Bundaberg (Burnett Heads), Queensland, Australia",-24.7624,152.3856,BUNDABERG II,-24.8333,152.3500,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
8.7,psmsl_id,1166,"Bundaberg (Burnett Heads), Queensland, Australia",-24.7624,152.3856,BUNDABERG II,-24.8333,152.3500,Position pruefen (Name passt),harmonics/utide/harmonics_utide_tidetables.txt,5
8.6,ioc_code,mnkt,"Manukau Heads, New Zealand",-37.0488,174.6082,Manukau,-37.0466,174.5117,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,2
8.6,ptwc_code,mnkt,"Manukau Heads, New Zealand",-37.0488,174.6082,Manukau,-37.0466,174.5117,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,2
8.5,gloss_id,71,"Davao, Philippines",7.083,125.633,Davao,7.1537,125.6629,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.5,ssc_id,davo,"Davao, Philippines",7.083,125.633,Davao,7.1537,125.6629,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.5,uhslc_id,372,"Davao, Philippines",7.083,125.633,Davao,7.1537,125.6629,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.5,ioc_code,davo,"Davao, Philippines",7.083,125.633,Davao_PH,7.1537,125.6629,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.5,ptwc_code,davo,"Davao, Philippines",7.083,125.633,Davao_PH,7.1537,125.6629,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
8.4,psmsl_id,1423,"Mangaluru, Karnataka, India",12.8492,74.8345,MANGALORE (PANAMBURU),12.9167,74.8000,Nachbarpegel -- Kennung pruefen,harmonics/classic/harmonics-1997-05-25_mod.txt,2
8.4,psmsl_id,1447,"Christiansted Harbor, St. Croix, Virgin Islands",17.7477,-64.6984,"LIME TREE BAY, ST CROIX",17.6933,-64.7533,Position pruefen (Name passt),harmonics/classic/harmonics-dwf-20251228-free.txt,7
8.4,psmsl_id,1052,"Bantam, Cocos Islands, Australia",-12.1167,96.8922,COCOS IS. (WEST IS.),-12.1333,96.8167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,8
8.3,psmsl_id,218,"Venezia, Italy",45.4188,12.4257,VENEZIA (DIGA SUD DI LIDO),45.3500,12.3833,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
8.3,psmsl_id,975,"Dakshin Bandar (Chittagong  15 No. Ghat), Bangladesh",22.2417,91.8209,CHITTAGONG (T.M. COMPOUND),22.3167,91.8167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,11
