name,datei_a,rms_a_cm,datei_b,rms_b_cm,hub_m
"Helgoland (Südhafen), Germany",harmonics_utide_observations.txt,30.5,harmonics_utide_observations.txt,30.5,3.48
"Herne Bay, England, United Kingdom",harmonics_literature.txt,11.1,harmonics_utide_observations.txt,10.5,5.44
"Herne Bay, England, United Kingdom",harmonics_ticon4_worldwide.txt,12.0,harmonics_utide_observations.txt,10.5,5.44
"Herschel Island, Yukon, Canada",harmonics-2004-06-14_mod.txt,0.9,harmonics_utide_tidetables.txt,0.9,0.42
"Heysham, England, United Kingdom",harmonics_utide_observations.txt,9.9,harmonics-dwf-20100529-nonfree_mod.txt,8.5,10.14
"Hiagari, Fukuoka, Japan",harmonics-2004-06-14_mod.txt,3.6,harmonics_utide_observations.txt,3.3,2.01
"Owase, Mie, Japan",harmonics_ticon4_worldwide.txt,2.4,harmonics_utide_observations.txt,0.8,2.11
"Hinkley Point, England, United Kingdom",harmonics_ticon4_worldwide.txt,17.1,harmonics_utide_observations.txt,15.1,12.72
"Hirara (Miyakojima), Okinawa, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,1.9,2.39
"Hiron Point (Pasur River), Bangladesh",harmonics_ticon4_worldwide.txt,15.6,harmonics_utide_observations.txt,15.3,3.43
"Hiroo (Tokachi), Hokkaido, Japan",harmonics_ticon4_worldwide.txt,2.9,harmonics_utide_observations.txt,1.3,1.63
"Hiroshima, Hiroshima, Japan",harmonics_ticon4_worldwide.txt,4.5,harmonics_utide_observations.txt,1.6,4.19
"Hofu (Mitajiri), Yamaguchi, Japan",harmonics-2004-06-14_mod.txt,3.0,harmonics_utide_observations.txt,1.0,3.82
"Hondoseto, Kumamoto, Japan",harmonics_ticon4_worldwide.txt,3.5,harmonics_utide_observations.txt,1.9,4.07
"Honningsvåg, Norway",harmonics_utide_observations.txt,14.3,harmonics_ticon4_worldwide.txt,13.9,3.25
"Hooper Island, Northwest Territories, Canada",harmonics-2004-06-14_mod.txt,0.9,harmonics_utide_tidetables.txt,0.9,0.51
"Hopedale, Labrador, Canada",harmonics-2004-06-14_mod.txt,2.1,harmonics_utide_tidetables.txt,1.8,2.19
"Hososhima (Hyuga), Miyazaki, Japan",harmonics_ticon4_worldwide.txt,3.1,harmonics_utide_observations.txt,1.1,2.27
"Hörnum (Sylt, Hafen), Germany",harmonics_ticon4_worldwide.txt,34.7,harmonics_utide_observations.txt,33.7,2.82
"Iceberg Point, Nunavut, Canada",harmonics-2004-06-14_mod.txt,0.6,harmonics_utide_tidetables.txt,0.4,0.28
"Ikuji (Kurobe), Toyama, Japan",harmonics-2004-06-14_mod.txt,3.9,harmonics_utide_observations.txt,2.0,0.67
"Ilfracombe, England, United Kingdom",harmonics_ticon4_worldwide.txt,9.6,harmonics_utide_observations.txt,8.5,10.08
