name,fS,fN,rM,rS,rD,wahr_km,alt_pct,neu_pct,entscheidung
"Sandwich Harbour, Namibia",0.85,0.84,1.004,0.99,1.006,,,,schreiben (Gruppenbeleg NP208)
"Ichaboe Island, Namibia",0.85,0.84,1.004,0.99,1.006,,,,schreiben (Gruppenbeleg NP208)
"Lüderitz, Namibia",0.93,1.16,0.928,1.263,0.89,0.0,3.38,2.67,schreiben
"Prince of Wales Bay, Namibia",0.85,0.84,1.004,0.99,1.006,,,,schreiben (Gruppenbeleg NP208)
"Port Nolloth, South Africa",1.07,1.18,0.972,1.07,0.951,0.0,2.25,2.26,schreiben
"St. Helena Bay, South Africa",1.07,1.0,1.019,0.96,1.034,,,,schreiben (Gruppenbeleg NP208)
"Saldanha, South Africa",1.0,1.18,0.952,1.13,0.917,0.01,1.79,1.27,schreiben
"Langebaan (Schrywers Hoek), South Africa",1.07,1.18,0.972,1.07,0.951,,,,schreiben (Gruppenbeleg NP208)
"Ría de Tina Mayor, Spain",0.85,0.61,1.104,0.779,1.164,,,,schreiben (Gruppenbeleg NP208)
"San Esteban de Pravia (Nalón), Spain",0.8,0.7,1.044,0.886,1.067,,,,schreiben (Gruppenbeleg NP208)
"Viveiro (Landro), Spain",0.93,0.41,1.232,0.635,1.388,1.04,10.41,9.45,schreiben
"Ortigueira, Spain",1.0,1.2,0.939,1.226,0.909,,,,schreiben (Gruppenbeleg NP208)
"Ria de Corme e Laxe, Spain",1.03,0.8,1.079,0.827,1.126,,,,schreiben (Gruppenbeleg NP208)
"Doca de Pedrouços (Belém), Portugal",0.9,0.93,0.989,1.032,0.984,,,,schreiben (Gruppenbeleg NP208)
"Montijo, Portugal",1.0,1.07,0.978,1.07,0.966,,,,schreiben (Gruppenbeleg NP208)
"Alfeite (Base Naval de Lisboa), Portugal",0.97,1.0,0.99,1.03,0.985,,,,schreiben (Gruppenbeleg NP208)
"Enseada de Beliche, Portugal",1.03,1.0,1.01,0.974,1.015,,,,schreiben (Gruppenbeleg NP208)
"Ponta do Altar (Ferragudo), Portugal",0.9,0.87,1.011,0.97,1.017,2.33,2.25,2.28,schreiben
"Martil (Baie de Tetouan), Morocco",0.76,0.75,1.004,0.989,1.007,,,,schreiben (Gruppenbeleg NP208)
"Arzew, Algeria",0.18,0.05,1.3,0.609,1.565,,,,schreiben (Gruppenbeleg NP208)
"Bizerte, Tunisia",0.18,0.24,0.904,1.406,0.857,,,,schreiben (Gruppenbeleg NP208)
"Monastir, Tunisia",0.18,0.05,1.3,0.609,1.565,,,,schreiben (Gruppenbeleg NP208)
"Mahdia, Tunisia",0.41,0.05,1.382,0.573,1.783,,,,schreiben (Gruppenbeleg NP208)
"Ras Kaboudia (Chebba), Tunisia",0.29,0.05,1.349,0.592,1.706,,,,schreiben (Gruppenbeleg NP208)
"La Maddalena, Sardinia, Italy",0.41,0.24,1.148,0.744,1.262,,,,schreiben (Gruppenbeleg NP208)
"Canal des Kerkennah (North Entrance), Tunisia",0.65,0.05,1.413,0.557,1.857,,,,schreiben (Gruppenbeleg NP208)
"Bancs Kerkennah (East Point), Tunisia",0.65,0.05,1.413,0.557,1.857,,,,schreiben (Gruppenbeleg NP208)
"Borj el Hsar (Kerkennah), Tunisia",1.12,0.49,1.217,0.673,1.391,,,,schreiben (Gruppenbeleg NP208)
"Kerkenah Banks (South Point), Tunisia",1.24,0.49,1.237,0.656,1.434,,,,schreiben (Gruppenbeleg NP208)
"Skhira, Tunisia",1.82,1.0,1.166,0.722,1.291,,,,schreiben (Gruppenbeleg NP208)
"Boughrara, Tunisia",0.53,0.05,1.401,0.563,1.828,,,,schreiben (Gruppenbeleg NP208)
"Ajim Bar (Djerba), Tunisia",1.82,1.0,1.166,0.722,1.291,,,,schreiben (Gruppenbeleg NP208)
"Ras el Ketef, Tunisia",0.76,0.05,1.416,0.559,1.877,,,,schreiben (Gruppenbeleg NP208)
"Korcula, Croatia",0.35,0.51,0.912,1.199,0.814,,,,schreiben (Gruppenbeleg NP208)
"Uble (Lastovo), Croatia",0.35,0.51,0.912,1.199,0.814,,,,schreiben (Gruppenbeleg NP208)
"Aydincik Koyu (Gökçeada), Turkey",0.29,0.24,1.056,0.877,1.094,,,,schreiben (Gruppenbeleg NP208)
"Ayvalik, Turkey",0.29,0.24,1.056,0.877,1.094,,,,schreiben (Gruppenbeleg NP208)
"Izmir (Smyrna), Turkiye",0.29,0.49,0.822,2.376,0.744,,,,schreiben (Gruppenbeleg NP208)
"Galaxidi, Greece",0.53,0.49,1.024,0.939,1.039,,,,schreiben (Gruppenbeleg NP208)
"Korinthos (Corinth), Greece",0.65,0.49,1.085,0.824,1.14,,,,schreiben (Gruppenbeleg NP208)
"Chalkis (S. of bridge), Greece",0.41,0.24,1.148,0.744,1.262,,,,schreiben (Gruppenbeleg NP208)
"Chalkis (N. of bridge), Greece",0.88,0.49,1.163,0.725,1.285,,,,schreiben (Gruppenbeleg NP208)
"Steno Knimidas, Greece",0.76,0.49,1.126,0.768,1.216,,,,schreiben (Gruppenbeleg NP208)
"Volos, Greece",0.65,0.49,1.085,0.824,1.14,,,,schreiben (Gruppenbeleg NP208)
"Thessaloniki, Greece",0.29,0.24,1.056,0.877,1.094,0.0,24.37,24.57,schreiben
"Beirut (Beyrouth), Lebanon",0.29,0.24,1.056,0.877,1.094,0.0,7.99,8.17,schreiben
"Saida (Sidon), Lebanon",0.41,0.49,0.942,1.2,0.911,,,,schreiben (Gruppenbeleg NP208)
