name,bezug,lat,lon,satzname,standard,grundsatz,grund_cm,art,cm,hw,nw,bestand,entscheidung,grund,loeschen,loeschen_n,fes
Carregado – terra,LISBOA,39.0083,-8.9417,"Carregado (Rio Tejo), Portugal",Lisboa,IH-Konstanten (an die IH-Tafel nachgefuehrt),4.9,nachgefuehrt,4.3,2,1,,neu,,,0,
Baliza 4,SETÚBAL (TROIA),38.465,-8.9617,"Baliza 4 (Rio Sado), Portugal",Setúbal (Troia),"harmonics_utide_tidetables.txt|Setúbal-Tróia, Portugal",4.4,nachgefuehrt,3.5,0,0,,neu,,,0,
Outão,SETÚBAL (TROIA),38.4933,-8.9333,"Outão (Setúbal), Portugal",Setúbal (Troia),"harmonics_utide_tidetables.txt|Setúbal-Tróia, Portugal",4.4,nachgefuehrt,3.7,0,0,,neu,,,0,
Cais Comercial,SETÚBAL (TROIA),38.52,-8.89,"Cais Comercial (Setúbal), Portugal",Setúbal (Troia),"harmonics_utide_tidetables.txt|Setúbal-Tróia, Portugal",4.4,nachgefuehrt,3.8,0,0,,neu,,,0,
Desmagnetização,SETÚBAL (TROIA),38.4583,-8.8517,"Desmagnetização (Setúbal), Portugal",Setúbal (Troia),"harmonics_utide_tidetables.txt|Setúbal-Tróia, Portugal",4.4,nachgefuehrt,4.1,0,0,,neu,,,0,
Lisnave (Setenave),SETÚBAL (TROIA),38.47,-8.7917,"Lisnave (Setenave), Portugal",Setúbal (Troia),"harmonics_utide_tidetables.txt|Setúbal-Tróia, Portugal",4.4,nachgefuehrt,4.2,0,1,,neu,,,0,
Pinheiro,SETÚBAL (TROIA),38.4383,-8.715,,,,,,,,,,nicht,"nur Zeitkorrektur, Amplitude unbekannt (r=1 angenommen trifft Bolama auf 4-8 min, aber 18 % zu kleiner Hub)",,,
Baleeira,LAGOS,37.0017,-8.9333,"Baleeira, Portugal",Lagos,IH-Konstanten,4.7,nachgefuehrt,5.1,0,0,,neu,,,0,
Portimão (interior),LAGOS,37.1317,-8.535,"Portimão (interior), Portugal",Lagos,IH-Konstanten,4.7,nachgefuehrt,5.3,0,0,"harmonics_utide_tidetables.txt|Portimão (interior), Portugal [B 0.1 km] Tafel 5.2 cm -4/-4, Kurve 2.2 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Portimão (interior), Portugal",,,
Portimão (exterior),LAGOS,37.1267,-8.5283,"Portimão (exterior), Portugal",Lagos,IH-Konstanten,4.7,nachgefuehrt,5.1,0,0,"harmonics_utide_tidetables.txt|Portimão (exterior), Portugal [B 0.2 km] Tafel 4.9 cm -4/-4, Kurve 2.2 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Portimão (exterior), Portugal",,,
Albufeira,LAGOS,37.085,-8.2533,,,,,,,,,,nicht,Messung Albufeira (IOC) 26-29 min frueher; sie liegt gleichauf mit den Messungen Lagos und Sagres (0-2 min),,,
Barra do Ancão,FARO-OLHÃO,36.98,-7.9483,"Barra do Ancão, Portugal",Faro-Olhão,"harmonics_utide_tidetables.txt|Faro-Olhão, Portugal",4.6,nachgefuehrt,4.2,0,1,"harmonics_utide_tidetables.txt|Barra do Ancão, Portugal [B 0.0 km] Tafel 5.6 cm -1/-6, Kurve 1.1 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Barra do Ancão, Portugal",,,
Faro (Cais Comercial),FARO-OLHÃO,37.0033,-7.9217,"Faro (Cais Comercial), Portugal",Faro-Olhão,"harmonics_utide_tidetables.txt|Faro-Olhão, Portugal",4.6,nachgefuehrt,4.8,-1,0,,neu,,,0,
Olhão (Cais da Lota),FARO-OLHÃO,37.0233,-7.8383,"Olhão (Cais da Lota), Portugal",Faro-Olhão,"harmonics_utide_tidetables.txt|Faro-Olhão, Portugal",4.6,nachgefuehrt,4.7,0,0,,neu,,,0,
Barra de Armona,FARO-OLHÃO,37.0083,-7.8033,"Barra de Armona, Portugal",Faro-Olhão,"harmonics_utide_tidetables.txt|Faro-Olhão, Portugal",4.6,nachgefuehrt,4.5,0,0,,neu,,,0,
Barra de Tavira,FARO-OLHÃO,37.115,-7.6183,"Barra de Tavira, Portugal",Faro-Olhão,"harmonics_utide_tidetables.txt|Faro-Olhão, Portugal",4.6,nachgefuehrt,4.6,0,0,"harmonics_utide_tidetables.txt|Barra de Tavira, Portugal [B 0.0 km] Tafel 4.7 cm +2/-3, Kurve 1.2 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Barra de Tavira, Portugal",,,
Barra de Cacela,FARO-OLHÃO,37.145,-7.5733,"Barra de Cacela, Portugal",Faro-Olhão,"harmonics_utide_tidetables.txt|Faro-Olhão, Portugal",4.6,nachgefuehrt,5.5,1,-1,,neu,,,0,
Porto Moniz,FUNCHAL,32.8664,-17.1654,"Porto Moniz, Madeira, Portugal",Funchal,"harmonics_utide_observations.txt|Funchal, Madeira, Portugal",3.4,nachgefuehrt,3.4,0,0,"harmonics_utide_tidetables.txt|Porto Moniz, Madeira, Portugal [B 0.0 km] Tafel 3.7 cm +1/-0, Kurve 0.3 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Porto Moniz, Madeira, Portugal",,,
Porto da Cruz,FUNCHAL,32.7733,-16.825,"Porto da Cruz, Madeira, Portugal",Funchal,"harmonics_utide_observations.txt|Funchal, Madeira, Portugal",3.4,nachgefuehrt,3.5,0,0,"harmonics_att_np208_secondary.txt|Porto da Cruz, Madeira, Portugal [- 0.3 km] Tafel 10.5 cm -8/-5, Kurve 3.2 % ; harmonics_utide_tidetables.txt|Porto da Cruz, Madeira, Portugal [B 0.3 km] Tafel 3.8 cm +1/-0, Kurve 0.3 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Porto da Cruz, Madeira, Portugal",,,
Machico,FUNCHAL,32.7167,-16.7583,"Machico, Madeira, Portugal",Funchal,"harmonics_utide_observations.txt|Funchal, Madeira, Portugal",3.4,nachgefuehrt,3.1,0,0,"harmonics_att_np208_secondary.txt|Machico, Madeira, Portugal [- 0.2 km] Tafel 8.6 cm +2/+5, Kurve 2.9 % ; harmonics_utide_tidetables.txt|Machico, Madeira, Portugal [B 0.2 km] Tafel 3.3 cm +1/-0, Kurve 0.3 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Machico, Madeira, Portugal",,,
