datei,name,fehler_prozent,begruendung
harmonics/classic/harmonics-2004-06-14_mod.txt,"Hopewell Cape, New Brunswick, Canada",1.4,"An der Tafel Hopewell Cape: 1.4 % des Hubs von 13.43 m gegen 0.1 % von ""Hopewell Cape, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 23.5, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Cloridorme, Québec, Canada",3.8,"An der Tafel Cloridorme: 3.8 % des Hubs von 2.22 m gegen 0.2 % von ""Cloridorme, Québec, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 23.3, Kurvenabweichung 4 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"La Poile Bay, Canada",4.8,"An der Tafel La Poile (Little Bay): 4.8 % des Hubs von 1.55 m gegen 0.2 % von ""La Poile (Little Bay), Newfoundland, Canada"" (harmonics_utide_tidetables.txt), 1976 m entfernt. Faktor 23.3, Kurvenabweichung 10 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Cape Enrage, Nova Scotia, Canada",1.4,"An der Tafel Cape Enrage: 1.4 % des Hubs von 12.04 m gegen 0.1 % von ""Cape Enrage, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 23.2, Kurvenabweichung 0 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Summerside Harbour, Canada",10.1,"An der Tafel Summerside: 10.1 % des Hubs von 1.81 m gegen 0.4 % von ""Summerside, Prince Edward Island, Canada"" (harmonics_utide_tidetables.txt), 1577 m entfernt. Faktor 23.0, Kurvenabweichung 11 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Kumeon Bay, British Columbia, Canada",1.2,"An der Tafel Kumeon Bay: 1.2 % des Hubs von 6.61 m gegen 0.1 % von ""Kumeon Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 22.3, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Stupart Bay, Québec, Canada",1.3,"An der Tafel Stupart Bay: 1.3 % des Hubs von 8.33 m gegen 0.1 % von ""Stupart Bay, Québec, Canada"" (harmonics_utide_tidetables.txt), 4 m entfernt. Faktor 22.0, Kurvenabweichung 0 %."
harmonics/utide/harmonics_utide_tidetables.txt,"Port Maitland, Nova Scotia, Canada",26.7,"An der Tafel Port Maitland: 26.7 % des Hubs von 5.14 m gegen 1.2 % von ""Port Maitland, Nova Scotia, Canada"" (harmonics-2004-06-14_mod.txt), 53 m entfernt. Faktor 21.7, Kurvenabweichung 53 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Grindstone Island, New Brunswick, Canada",1.5,"An der Tafel Grindstone Island: 1.5 % des Hubs von 13.00 m gegen 0.1 % von ""Grindstone Island, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 21.4, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Portneuf-sur-Mer, Québec, Canada",2.9,"An der Tafel Portneuf-sur-Mer: 2.9 % des Hubs von 4.20 m gegen 0.1 % von ""Portneuf-sur-Mer, Québec, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 21.4, Kurvenabweichung 4 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Grand Eddy, Nova Scotia, Canada",6.7,"An der Tafel Tiverton: 6.7 % des Hubs von 5.83 m gegen 0.3 % von ""Grand Eddy, Nova Scotia, Canada"" (harmonics_utide_tidetables.txt), 25 m entfernt. Faktor 21.2, Kurvenabweichung 15 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Chicoutimi, Saguenay River, Canada",7.2,"An der Tafel Chicoutimi: 7.2 % des Hubs von 4.93 m gegen 0.3 % von ""Chicoutimi, Québec, Canada"" (harmonics_utide_tidetables.txt), 450 m entfernt. Faktor 21.0, Kurvenabweichung 12 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Rivière-Koksoak, Québec, Canada",1.0,"An der Tafel Rivière Koksoak: 1.0 % des Hubs von 11.99 m gegen 0.0 % von ""Rivière Koksoak, Québec, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 21.0, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Porlier Pass, British Columbia, Canada",2.5,"An der Tafel Porlier Pass: 2.5 % des Hubs von 4.23 m gegen 0.1 % von ""Porlier Pass, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 417 m entfernt. Faktor 20.7, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Preedy Harbour, British Columbia, Canada",2.5,"An der Tafel Preedy Harbour: 2.5 % des Hubs von 4.08 m gegen 0.1 % von ""Preedy Harbour, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 20.5, Kurvenabweichung 0 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Lewis Bay, Nunavut, Canada",1.2,"An der Tafel Lewis Bay: 1.2 % des Hubs von 9.34 m gegen 0.1 % von ""Lewis Bay, Nunavut, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 20.5, Kurvenabweichung 0 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Seymour Narrows (Canoe Pass), Canada",11.5,"An der Tafel Seymour Narrows: 11.5 % des Hubs von 4.51 m gegen 0.6 % von ""Seymour Narrows, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 342 m entfernt. Faktor 20.5, Kurvenabweichung 23 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Quaqtaq, Québec, Canada",3.6,"An der Tafel Quaqtaq: 3.6 % des Hubs von 8.87 m gegen 0.2 % von ""Quaqtaq, Québec, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 20.2, Kurvenabweichung 27 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Griffin Passage, British Columbia, Canada",2.8,"An der Tafel Griffin Passage: 2.8 % des Hubs von 4.99 m gegen 0.1 % von ""Griffin Passage, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 20.0, Kurvenabweichung 5 %."
