name_a,name_b,begruendung,km,kurve_prozent,dt_h,guete,namensueberlappung,spur,haufen,datei_a,datei_b,Neuer gemeinsamer Name
"Swim Point, Nova Scotia, Canada","Swims Point, Nova Scotia, Canada",,0.02,0.6,+0.00,1000,0.75,N,502,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Digby, Annapolis Basin, Nova Scotia, Canada","Digby, Nova Scotia, Canada",,0.02,2.5,+0.10,1000,1.00,N,603,harmonics_ticon4_worldwide.txt,harmonics_utide_tidetables.txt,
"Vardø, Norway","Vardøya, Norway",,0.02,6.5,+0.00,1000,1.00,N,2697,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Puerto Peñasco (Puerto), Sonora, Mexico","Puerto Peñasco, Sonora, Mexico",,0.03,0.0,+0.00,1000,1.00,N,2035,harmonics-2004-06-14_mod.txt,harmonics-2004-06-14_mod.txt,
"Kishiwada, Osaka, Japan","Kisiwada, Osaka, Japan",,0.03,0.0,+0.00,1000,0.50,N,1159,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Hachijoshima(yaene), Tokyo, Japan","Yaene (Hatizyo Sima), Tokyo, Japan",,0.03,1.5,+0.00,1000,0.67,N,2790,harmonics_utide_observations.txt,harmonics-2004-06-14_mod.txt,
"Boutilier Point, Nova Scotia, Canada","Boutiliers Point, Nova Scotia, Canada",,0.03,2.2,-0.02,998,0.75,N,293,harmonics_ticon4_worldwide.txt,harmonics_utide_tidetables.txt,
"Culloden Wharf, Nova Scotia, Canada","Culloden, Nova Scotia, Canada",,0.04,1.0,+0.03,1000,1.00,N,553,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Havre Aubert (Amherst), Québec, Canada","Havre-Aubert, Québec, Canada",,0.09,0.5,+0.00,1000,1.00,N,906,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Alotau (Milne Bay), Papua New Guinea","Alotau, Papua New Guinea",,0.09,5.6,-0.02,998,1.00,N,38,harmonics_utide_tidetables.txt,harmonics_utide_observations.txt,
"Makwaziniht Island, British Columbia, Canada","Makwazniht Island, British Columbia, Canada",,0.13,0.4,+0.02,1000,0.75,N,1393,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Shimotsu Ura, Osaki Wan, Wakayama, Japan","Shimotsu, Wakayama, Japan",,0.17,8.1,-0.08,999,1.00,N,2330,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Rochers Noirs - Tubuai, French Polynesia","Tubuai, Austral Islands, French Polynesia (1)",,0.20,0.2,+0.00,1000,0.33,N,2646,harmonics_utide_tidetables.txt,harmonics_ticon4_worldwide.txt,
"Rochers Noirs - Tubuai, French Polynesia","Tubuai, Austral Islands, French Polynesia (2)",,0.20,0.2,+0.00,1000,0.33,N,2646,harmonics_utide_tidetables.txt,harmonics_ticon4_worldwide.txt,
"Rochers Noirs - Tubuai, French Polynesia","Tubuai, Austral Islands, French Polynesia (3)",,0.21,2.6,+0.10,1000,0.33,N,2646,harmonics_utide_tidetables.txt,harmonics_ticon4_worldwide.txt,
"Eastport, Maine (2) (expired 1988-12-31)","Eastport, Passamaquoddy Bay, Maine",,0.22,0.9,+0.00,1000,1.00,N,661,harmonics-2004-06-14_mod.txt,harmonics-dwf-20251228-free.txt,
"Aohama, Fukuoka, Japan","Aohama, Kyushu, Fukuoka, Japan",,0.23,9.2,+0.17,999,1.00,N,68,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Kochi, Kochi, Japan","Urado Ko, Kochi, Japan",,0.25,9.0,-0.08,996,1.00,N,2682,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Bénodet (L'Odet), France","Bénodet, Odet River, France",,0.26,8.3,+0.05,1000,0.50,N,348,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Braye Bay, Alderney, Channel Islands","Braye, Alderney, Channel Islands",,0.29,5.4,-0.13,998,1.00,N,300,harmonics_utide_tidetables.txt,harmonics_utide_tidetables.txt,
"Isla Observatorio, Tierra del Fuego, Argentina","Islas de Año Nuevo (Isla Observatorio), Tierra del Fuego, Argentina",,0.31,3.3,-0.02,1000,1.00,N,1024,harmonics_att_np207.txt,harmonics_utide_tidetables.txt,
"Le Palais (Belle-Île), France","Le Palais, Belle-Île, France",,0.31,7.4,+0.07,1000,1.00,N,1297,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Tyne River entrance, England, United Kingdom","Tynemouth Lighthouse, England, United Kingdom",,0.32,6.7,-0.02,1000,0.33,N,2657,harmonics_noaa_eutt.txt,harmonics-pierre-lavergne-v10_mod.txt,
"Caleta Lobitos, Peru","Lobitos, Piura, Peru",,0.32,8.7,-0.22,1000,0.50,N,373,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Belfast (Lagan Weir), Northern Ireland, United Kingdom","Belfast, Northern Ireland, United Kingdom",,0.35,9.3,+0.17,999,1.00,N,230,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Cua Cam Approaches (Hon Dau), Vietnam","Hon Dau, Vietnam",,0.36,2.8,+0.03,1000,1.00,N,548,harmonics_att_np203_scs.txt,harmonics_utide_observations.txt,
"Eastport, Maine (2) (expired 1988-12-31)","Eastport, Maine (3)",,0.39,2.0,+0.05,998,1.00,N,661,harmonics-2004-06-14_mod.txt,harmonics-2004-06-14_mod.txt,
"Hiroshima Ko (Ujina Ko), Hiroshima, Japan","Hiroshima, Hiroshima, Japan",,0.39,8.4,-0.17,1000,1.00,N,940,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Hofu, Yamaguchi, Japan","Mitajiri Ko, Yamaguchi, Japan",,0.41,8.0,+0.08,999,0.50,N,945,harmonics_ticon4_worldwide.txt,harmonics_noaa_cptt.txt,
"Ei (Awaji-shima), Hyogo, Japan","Ei, Awaji, Hyogo, Japan",,0.41,9.1,+0.03,999,1.00,N,665,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Daajing Giids, British Columbia, Canada","Skidegate Inlet, British Columbia, Canada",,0.42,6.9,+0.00,1000,0.50,N,2374,harmonics_utide_tidetables.txt,harmonics_noaa_amtt.txt,
"Enseada de Sines, Portugal","Sines, Portugal",,0.43,8.3,+0.20,1000,1.00,N,680,harmonics_noaa_eutt.txt,harmonics_utide_observations.txt,
"Hantsport, Nova Scotia (2), Canada","Hantsport, Nova Scotia, Canada",,0.47,0.7,+0.00,1000,1.00,N,893,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Hofu (Mitajiri), Yamaguchi, Japan","Mitajiri Ko, Yamaguchi, Japan",,0.47,8.0,+0.08,999,0.67,N,945,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Base Prat (Bahía Chile, Isla Greenwich), Chile","Puerto Soberania, South Shetland Islands, Antarctica",,0.49,4.9,-0.03,1000,0.00,N,610,harmonics_utide_tidetables.txt,harmonics_ticon4_worldwide.txt,
"Shoreham (River Adur), England, United Kingdom","Shoreham (River Adur), England, United Kingdom",,0.49,9.5,+0.07,974,0.50,N,2349,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Hofu (Mitajiri), Yamaguchi, Japan","Hofu, Yamaguchi, Japan",,0.50,0.4,+0.02,1000,1.00,N,945,harmonics_utide_observations.txt,harmonics_ticon4_worldwide.txt,
"Eastport, Maine (3)","Eastport, Passamaquoddy Bay, Maine",,0.51,1.8,-0.03,999,1.00,N,661,harmonics-2004-06-14_mod.txt,harmonics-dwf-20251228-free.txt,
"Clayoquot, British Columbia, Canada","Tofino, British Columbia, Canada",,0.52,4.4,-0.10,1000,0.67,N,504,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Humpback Bay, British Columbia, Canada","Porcher Island, British Columbia, Canada",,0.52,7.1,+0.08,999,0.50,N,1906,harmonics_utide_tidetables.txt,harmonics_noaa_amtt.txt,
"Nazaré (Baía de Pederneira), Portugal","Nazaré, Portugal",,0.53,8.5,+0.18,1000,1.00,N,1623,harmonics_noaa_eutt.txt,harmonics_utide_observations.txt,
"Bintulu, Malaysia","Teluk Plan (Pelabuhan Bintulu), Malaysia",,0.54,2.4,-0.02,998,1.00,N,2547,harmonics_ticon4_worldwide.txt,harmonics_att_np203_scs.txt,
"Baie de Lampaul (Île d'Ouessant), France","Île d'Ouessant, France",,0.54,7.3,+0.05,1000,1.00,N,147,harmonics_utide_tidetables.txt,harmonics_noaa_eutt.txt,
"Hachijoshima(konominato), Tokyo, Japan","Kaminato (Hatizyo Sima), Tokyo, Japan",,0.55,0.3,+0.00,1000,0.33,N,1090,harmonics_utide_observations.txt,harmonics_ticon4_worldwide.txt,
"Saint-Jean-de-Luz (Socoa), France","St. Jean de Luz (Socoa), France",,0.55,7.2,-0.13,1000,0.80,GN,2404,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Kaminato (Hatizyo Sima), Tokyo, Japan","Kaminato Hakuchi, Hachijo Jima, Tokyo, Japan",,0.55,8.9,+0.23,1000,0.50,N,1090,harmonics_ticon4_worldwide.txt,harmonics_noaa_cptt.txt,
"Imabari, Ehime, Japan","Imabari, Kurushima Kaikyo, Ehime, Japan",,0.56,7.3,+0.10,1000,1.00,N,1000,harmonics_utide_observations.txt,harmonics_noaa_cptt.txt,
"Beaver Passage, British Columbia, Canada","Kitkatla, British Columbia, Canada",,0.57,7.0,-0.05,1000,0.67,N,220,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Nootka Sound, British Columbia, Canada","Saavedra Islands, British Columbia, Canada",,0.59,3.6,+0.00,999,0.50,N,1662,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Cordouan, France","Phare de Cordouan, France",,0.60,0.1,+0.00,1000,1.00,N,1862,harmonics_utide_tidetables.txt,harmonics-pierre-lavergne-v10_mod.txt,
"Newlyn, England, United Kingdom","Penzance (Newlyn), England, United Kingdom",,0.60,9.4,+0.13,987,1.00,N,1855,harmonics_utide_observations.txt,harmonics_noaa_eutt.txt,
"Do Son, Vietnam","Hon Dau, Vietnam",,0.64,2.7,+0.00,1000,0.00,N,548,harmonics-1997-05-25_mod.txt,harmonics_utide_observations.txt,
"Port Renfrew, British Columbia, Canada","Port San Juan, British Columbia, Canada",,0.64,4.9,+0.12,994,0.75,N,1973,harmonics_utide_tidetables.txt,harmonics_noaa_amtt.txt,
"Eno Ura, Shizuoka, Japan","Uchiura, Shizuoka, Japan",,0.64,8.8,+0.10,998,0.50,N,678,harmonics_noaa_cptt.txt,harmonics_utide_observations.txt,
"Huacho, Lima, Peru","Huacho, Peru",,0.65,9.4,+0.08,1000,1.00,N,968,harmonics_utide_tidetables.txt,harmonics_noaa_amtt.txt,
"Bahía Huarmey, Peru","Huarmey, Ancash, Peru",,0.65,9.9,-0.05,1000,0.50,N,137,harmonics_noaa_amtt.txt,harmonics_utide_tidetables.txt,
"Le Havre (Marégraphe), France","Le Havre (Quai de la Marine), France",,0.66,0.7,-0.02,1000,0.67,N,1293,harmonics_utide_observations.txt,harmonics_utide_observations.txt,
