# NP203 Ausgabe 2002, Part III (Harmonic Constants) -- Suedchinesisches Meer
# und Indonesien, also der Bereich, den die Ausgabe 2015 nicht mehr enthaelt.
# Von den Scanseiten in tide_tables/att/np203_2002_vollband.pdf abgelesen
# (PDF-Seite = Buchseite - 164). Zahlen visuell gelesen, die OCR ist hier
# unbrauchbar (nur 101 von 849 Zeilen parsebar).
#
# Spalten (Tab-getrennt):
#   att  name  zone  z0  gM2 HM2  gS2 HS2  gK1 HK1  gO1 HO1  f4 F4  f6 F6
# z0 in Metern ueber Kartennull; "w" = Table VI (Wert aus Part II holen).
# Leere Flachwasserspalten stehen als "-".
# Zeilen mit "v" (grosse jahreszeitliche Schwankung) stehen mit dem Mittel
# aus der Monatstabelle derselben Buchseite drin; das ist jeweils vermerkt.
#
# STAND: vollstaendig. Buchseiten 322-338, 791 Stationen,
# att 4495-5542 sowie 6851-7050 (Thailand/Vietnam/China haben im Band einen
# eigenen Nummernblock). Positionen dazu in np203_2002_part2_scs_pos.tsv.
#
# PRUEFSTAND: einmal gelesen, Format maschinell geprueft (Phasen 000-359,
# Amplituden < 4 m, keine Dubletten). Die OCR taugt als Gegenprobe nicht (sie
# trifft im Schnitt nur 4 von 9 Zahlen je Zeile). Stattdessen gegen die
# unabhaengigen Sammlungen geprueft: 421 Stationen liegen naeher als 3 km an
# einer Station aus classic/ticon/utide/noaa; nach Umrechnung auf den
# GMT-Meridian betraegt die mittlere Abweichung 0.03 m in der M2-Amplitude
# und 4.6 Grad in der Phase. Bei classic, classic_original und TICON (71
# Paare) weicht keine einzige Phase um mehr als 60 Grad ab.
#
# att	name	zone	z0	gM2	HM2	gS2	HS2	gK1	HK1	gO1	HO1	f4	F4	f6	F6
# ===== Buchseite 322 -- INDIA EAST COAST; BANGLADESH; BURMA =====
# ===== Buchseite 326 -- SUMATERA (Zone -0700 laeuft von S.325 durch) =====
4758	Kuala Niur	-0700	2.00	082	0.78	120	0.19	171	0.67	096	0.48	-	-	-	-
4760	Kuala Lajau	-0700	2.50	063	0.82	132	0.31	165	0.68	094	0.58	-	-	-	-
4761	Tembilahan	-0700	3.00	143	1.18	174	0.32	184	0.70	142	0.48	-	-	-	-
4763	Guntung	-0700	1.60	011	0.61	048	0.25	164	0.53	103	0.27	-	-	-	-
4764	Bandong	-0700	2.10	321	1.00	025	0.56	166	0.19	096	0.42	-	-	-	-
4765	Tanjungbalai	-0700	1.70	300	0.78	353	0.43	145	0.27	099	0.20	-	-	-	-
4766	Kenipaan	-0700	1.60	308	0.95	020	0.34	169	0.25	115	0.24	-	-	-	-
4766a	Iyu Kecil (Brothers Light)	-0700	1.80	298	0.94	351	0.43	150	0.27	107	0.26	284	0.070	163	0.025
4767	Tanjung Medang Dalam	-0700	2.10	304	0.90	017	0.30	178	0.30	124	0.20	-	-	-	-
4769	Pulau Muda	-0700	2.10	012	1.27	102	0.57	205	0.40	136	0.34	-	-	-	-
4770	Tebing Tingi	-0700	1.90	287	1.00	334	0.35	178	0.28	139	0.32	-	-	-	-
4773	Bengkalis	-0700	1.70	213	0.76	286	0.36	123	0.06	128	0.26	-	-	-	-
4774	Tanjung Parit	-0700	1.46	249	0.72	297	0.33	149	0.16	126	0.25	282	0.060	-	-
4778	Sungai Pakning	-0700	1.80	239	0.77	290	0.39	166	0.15	122	0.29	246	0.109	-	-
4779	Kuala Siak	-0700	1.80	248	0.68	315	0.40	177	0.09	126	0.25	-	-	-	-
4780	Tanjung Lebang	-0700	1.70	188	0.90	257	0.50	074	0.10	102	0.20	-	-	-	-
4781	Dumai	-0700	1.71	182	0.84	229	0.52	113	0.12	133	0.21	228	0.085	-	-
4782	Tanjung Medang	-0700	1.70	171	0.75	218	0.37	108	0.05	134	0.19	303	0.054	-	-
4783	Tanjung Ketam	-0700	2.10	161	1.20	228	0.60	053	0.10	107	0.20	-	-	-	-
4784	Tanjung Sinaboi	-0700	2.32	143	1.18	193	0.58	026	0.12	137	0.10	265	0.040	187	0.017
4785	Bagan Si Api Api	-0700	2.70	134	1.70	184	0.90	028	0.18	198	0.04	291	0.045	-	-
4789	Berombang	-0700	2.20	124	1.20	178	0.51	023	0.17	-	0.00	-	-	-	-
4790	Labuan Bilik	-0700	2.20	135	1.24	184	0.61	016	0.17	-	0.00	-	-	-	-
